REGION_NAME_VIGO,REGION_NAME_KML
Иркутская область,Иркутская область
Республика Башкортостан,Республика Башкортостан
Кировская область,Кировская область
Республика Коми,Республика Коми
Москва,Москва
Новгородская область,Новгородская область
Республика Дагестан,Республика Дагестан
Татарстан,Республика Татарстан
Красноярский край,Красноярский край
Орловская область,Орловская область
Камчатский край,Камчатский край
Брянская область,Брянская область
Свердловская область,Свердловская область
Вологодская область,Вологодская область
Волгоградская область,Волгоградская область
Ямало-Ненецкий автономный округ,Ямало-Ненецкий автономный округ
Республика Мордовия,Республика Мордовия
Чувашская республика,Республика Чувашия
Республика Адыгея,Республика Адыгея
Воронежская область,Воронежская область
Челябинская область,Челябинская область
Новосибирская область,Новосибирская область
Владимирская область,Владимирская область
Чеченская Республика,Чеченская Республика
Республика Карелия,Республика Карелия
Архангельская область,Архангельская область
Кемеровская область,Кемеровская область
Кабардино-Балкарская Республика,Кабардино-Балкарская Республика
Еврейская автономная область,Еврейская автономная область
Тамбовская область,Тамбовская область
Чукотский автономный округ,Чукотский автономный округ
Республика Саха,Республика Саха (Якутия)
Пензенская область,Пензенская область
Магаданская область,Магаданская область
Белгородская область,Белгородская область
Сахалинская область,Сахалинская область
Хабаровский край,Хабаровский край
Ивановская область,Ивановская область
Курская область,Курская область
Республика Калмыкия,Республика Калмыкия
Забайкальский край,Забайкальский край
Республика Удмуртия,Удмуртская Республика
Санкт-Петербург,Санкт-Петербург
Приморский край,Приморский край
Ярославская область,Ярославская область
Тюменская область,Тюменская область
Нижегородская область,Нижегородская область
Саратовская область,Саратовская область
Московская область,Московская область
Алтайский край,Алтайский край
Костромская область,Костромская область
Ленинградская область,Ленинградская область
Калининградская область,Калининградская область
Ставропольский край,Ставропольский край
Республика Бурятия,Республика Бурятия
Липецкая область,Липецкая область
Краснодарский край,Краснодарский край
Рязанская область,Рязанская область
Пермский край,Пермский край
Карачаево-Черкесская Республика,Карачаево-Черкесская Республика
Республика Тыва,Республика Тыва
Тверская область,Тверская область
Республика Ингушетия,Республика Ингушетия
Ульяновская область,Ульяновская область
Амурская область,Амурская область
Астраханская область,Астраханская область
Оренбургская область,Оренбургская область
Республика Алтай,Республика Алтай
Смоленская область,Смоленская область
Тульская область,Тульская область
Омская область,Омская область
Ростовская область,Ростовская область
Ханты-Мансийский автономный округ,Ханты-Мансийский Автономный округ (Югра)
Республика Марий Эл,Республика Марий Эл
Самарская область,Самарская область
Республика Хакасия,Республика Хакасия
Псковская область,Псковская область
Калужская область,Калужская область
Томская область,Томская область
Ненецкий автономный округ,Ненецкий автономный округ
Мурманская область,Мурманская область
Республика Северная Осетия — Алания,Республика Северная Осетия
Курганская область,Курганская область
