REGION_NAME_MF,NAME_MT_MF,NAME_MT_KML
Республика Саха (Якутия),ДВФ_14_1_Алдан,ДВФ_14_1_Алдан
Республика Саха (Якутия),ДВФ_14_10_Ленск,ДВФ_14_10_Ленск
Республика Саха (Якутия),ДВФ_14_12_Мирный,ДВФ_14_12_Мирный
Республика Саха (Якутия),ДВФ_14_14_Нерюнгри,ДВФ_14_14_Нерюнгри
Республика Саха (Якутия),ДВФ_14_24_Якутск,ДВФ_14_24_Якутск
Приморский край,ДВФ_25_1_Владивосток,ДВФ_25_1_Владивосток
Приморский край,ДВФ_25_10_Дальнегорск,ДВФ_25_10_Дальнегорск
Приморский край,ДВФ_25_11_Дальнереченск,ДВФ_25_11_Дальнереченск
Приморский край,ДВФ_25_12_Фокино,ДВФ_25_12_Фокино
Приморский край,ДВФ_25_13_Кавалерово,ДВФ_25_13_Кавалерово
Приморский край,ДВФ_25_14_Славянка,ДВФ_25_14_Славянка
Приморский край,ДВФ_25_15_Чугуевка,ДВФ_25_15_Чугуевка
Приморский край,ДВФ_25_2_Уссурийск,ДВФ_25_2_Уссурийск
Приморский край,ДВФ_25_3_находка,ДВФ_25_3_Находка
Приморский край,ДВФ_25_4_Артем,ДВФ_25_4_Артем
Приморский край,ДВФ_25_5_Арсеньев,ДВФ_25_5_Арсеньев
Приморский край,ДВФ_25_6_Спасск-Дальний,ДВФ_25_6_Спасск-Дальний
Приморский край,ДВФ_25_7_Большой-Камень,ДВФ_25_7_Большой-Камень
Приморский край,ДВФ_25_8_Партизанск,ДВФ_25_8_Партизанск
Приморский край,ДВФ_25_9_Лесозаводск,ДВФ_25_9_Лесозаводск
Хабаровский край,ДВФ_27_1_Амурск,ДВФ_27_1_Амурск
Хабаровский край,ДВФ_27_2_Бикин,ДВФ_27_2_Бикин
Хабаровский край,ДВФ_27_3_Ванино,ДВФ_27_3_Ванино
Хабаровский край,ДВФ_27_4_Вяземский,ДВФ_27_4_Вяземский
Хабаровский край,ДВФ_27_5_Комсомольск-на-Амуре,ДВФ_27_5_Комсомольск-на-Амуре
Хабаровский край,ДВФ_27_6_Николаевск-на-Амуре,ДВФ_27_6_Николаевск-на-Амуре
Хабаровский край,ДВФ_27_7_Советская Гавань,ДВФ_27_7_Советская Гавань
Хабаровский край,ДВФ_27_8_Хабаровск,ДВФ_27_8_Хабаровск
Хабаровский край,ДВФ_27_9_Хор,ДВФ_27_9_Хор
Амурская область,ДВФ_28_12_Райчихинск,ДВФ_28_12_Райчихинск
Амурская область,"ДВФ_28_14_ТОР ""Свободный""",ДВФ_28_14_ТОР Свободный
Амурская область,ДВФ_28_15_Тында,ДВФ_28_15_Тында
Амурская область,ДВФ_28_17_Шимановск,ДВФ_28_17_Шимановск
Амурская область,ДВФ_28_2_Белогорск,ДВФ_28_2_Белогорск
Амурская область,ДВФ_28_3_Благовещенск,ДВФ_28_3_Благовещенск
Амурская область,ДВФ_28_6_Зея,ДВФ_28_6_Зея
Республика Бурятия,ДВФ_3_1_Гусиноозерск,ДВФ_3_1_Гусиноозерск
Республика Бурятия,ДВФ_3_3_Кяхта,ДВФ_3_3_Кяхта
Республика Бурятия,ДВФ_3_5_Северобайкальск,ДВФ_3_5_Северобайкальск
Республика Бурятия,ДВФ_3_7_Улан-Удэ,ДВФ_3_7_Улан-Удэ
Иркутская область,ДВФ_38_1_Усть-Кут,ДВФ_38_1_Усть-Кут
Иркутская область,ДВФ_38_11_Иркутск,ДВФ_38_11_Иркутск
Иркутская область,ДВФ_38_12_Слюдянка,ДВФ_38_12_Слюдянка
Иркутская область,ДВФ_38_19_Зима,ДВФ_38_19_Зима
Иркутская область,ДВФ_38_2_Усть-Илимск,#Н/Д
Иркутская область,ДВФ_38_20_Нижнеудинск,ДВФ_38_20_Нижнеудинск
Иркутская область,ДВФ_38_21_Саянск,ДВФ_38_21_Саянск
Иркутская область,ДВФ_38_22_Тайшет,ДВФ_38_22_Тайшет
Иркутская область,ДВФ_38_23_Тулун,ДВФ_38_23_Тулун
Иркутская область,ДВФ_38_3_Железногорск-Илимский,ДВФ_38_3_Железногорск-Илимский
Иркутская область,ДВФ_38_4_Вихоревка,ДВФ_38_4_Вихоревка
Иркутская область,ДВФ_38_5_Братск,ДВФ_38_5_Братск
Иркутская область,ДВФ_38_6_Черемхово,ДВФ_38_6_Черемхово
Иркутская область,ДВФ_38_7_Усолье-Сибирское,ДВФ_38_7_Усолье-Сибирское
Иркутская область,ДВФ_38_8_Ангарск,ДВФ_38_8_Ангарск
Иркутская область,ДВФ_38_9_Шелехов,ДВФ_38_9_Шелехов
Камчатский край,ДВФ_41_10_Елизово,ДВФ_41_10_Елизово
Камчатский край,ДВФ_41_5_Петропавловск-Камчатский,ДВФ_41_5_Петропавловск-Камчатский
Камчатский край,ДВФ_41_9_Вилючинск,ДВФ_41_9_Вилючинск
Магаданская область,ДВФ_49_1_Магадан,ДВФ_49_1_Магадан
Сахалинская область,ДВФ_65_2_Корсаков,ДВФ_65_2_Корсаков
Сахалинская область,ДВФ_65_3_Оха,ДВФ_65_3_Оха
Сахалинская область,ДВФ_65_4_Холмск,ДВФ_65_4_Холмск
Сахалинская область,ДВФ_65_5_Южно-Сахалинск,ДВФ_65_5_Южно-Сахалинск
Забайкальский край,ДВФ_75_2_Борзя,ДВФ_75_2_Борзя
Забайкальский край,ДВФ_75_3_Краснокаменск,ДВФ_75_3_Краснокаменск
Забайкальский край,ДВФ_75_6_Чита,ДВФ_75_6_Чита
Еврейская автономная область,ДВФ_79_1_Амурзет,ДВФ_79_1_Амурзет
Еврейская автономная область,ДВФ_79_2_Биробиджан,ДВФ_79_2_Биробиджан
Еврейская автономная область,ДВФ_79_3_Ленинское,ДВФ_79_3_Лениское
Еврейская автономная область,ДВФ_79_4_Николаевка,ДВФ_79_4_Николаевка
Еврейская автономная область,ДВФ_79_5_Облучье,ДВФ_79_5_Облучье
Еврейская автономная область,ДВФ_79_6_Смидович,ДВФ_79_6_Смидович
Еврейская автономная область,ДВФ_79_7_Теплоозерск,ДВФ_79_7_Теплоозерск
Республика Адыгея,КВФ_1_3_Майкоп,КВФ_1_3_Майкоп
Республика Адыгея,КВФ_1_6_Энем,КВФ_1_6_Энем
Республика Адыгея,КВФ_1_7_Яблоновский,КВФ_1_7_Яблоновский
Республика Северная Осетия,КВФ_15_1_Алагир,КВФ_15_1_Алагир
Республика Северная Осетия,КВФ_15_10_Моздок,КВФ_15_10_Моздок
Республика Северная Осетия,КВФ_15_15_Эльхотово,КВФ_15_15_Эльхотово
Республика Северная Осетия,КВФ_15_2_Ардон,КВФ_15_2_Ардон
Республика Северная Осетия,КВФ_15_3_Беслан,КВФ_15_3_Беслан
Республика Северная Осетия,КВФ_15_4_Владикавказ,КВФ_15_4_Владикавказ
Чеченская Республика,КВФ_20_1_Аргун,КВФ_20_1_Аргун
Чеченская Республика,КВФ_20_10_Урус-Мартан,КВФ_20_10_Урус-Мартан
Чеченская Республика,КВФ_20_11_Червленная,КВФ_20_11_Червленная
Чеченская Республика,КВФ_20_12_Шали,КВФ_20_12_Шали
Чеченская Республика,КВФ_20_13_Шелковская,КВФ_20_13_Шелковская
Чеченская Республика,КВФ_20_2_Ачхой-Мартан,КВФ_20_2_Ачхой-Мартан
Чеченская Республика,КВФ_20_3_Грозный,КВФ_20_3_Грозный
Чеченская Республика,КВФ_20_4_Гудермес,КВФ_20_4_Гудермес
Чеченская Республика,КВФ_20_5_Знаменское,КВФ_20_5_Знаменское
Чеченская Республика,КВФ_20_6_Наурская,КВФ_20_6_Калиновская
Чеченская Республика,КВФ_20_7_Курчалой,КВФ_20_7_Курчалой
Чеченская Республика,КВФ_20_8_Наурская,КВФ_20_8_Наурская
Чеченская Республика,КВФ_20_9_Ойсахра,КВФ_20_9_Ойсхара
Краснодарский край,КВФ_23_1_Абинск,КВФ_23_1_Абинск
Краснодарский край,КВФ_23_10_Белореченск,КВФ_23_10_Белореченск
Краснодарский край,КВФ_23_12_Брюховецкая,КВФ_23_12_Брюховецкая
Краснодарский край,КВФ_23_15_Геленджик,КВФ_23_15_Геленджик
Краснодарский край,КВФ_23_16_Горячий Ключ,КВФ_23_16_Горячий Ключ
Краснодарский край,КВФ_23_17_Гулькевичи,КВФ_23_17_Гулькевичи
Краснодарский край,КВФ_23_19_Динская,КВФ_23_19_Динская
Краснодарский край,КВФ_23_2_Анапа,КВФ_23_2_Анапа
Краснодарский край,КВФ_23_21_Ейск,КВФ_23_21_Ейск
Краснодарский край,КВФ_23_22_Елизаветинская,КВФ_23_22_Елизаветинская
Краснодарский край,КВФ_23_23_Ильский,КВФ_23_23_Ильский
Краснодарский край,КВФ_23_26_Каневская,КВФ_23_26_Каневская
Краснодарский край,КВФ_23_27_Кореновск,КВФ_23_27_Кореновск
Краснодарский край,КВФ_23_28_Краснодар,КВФ_23_28_Краснодар
Краснодарский край,КВФ_23_30_Кропоткин,КВФ_23_30_Кропоткин
Краснодарский край,КВФ_23_31_Крымск,КВФ_23_31_Крымск
Краснодарский край,КВФ_23_32_Курганинск,КВФ_23_32_Курганинск
Краснодарский край,КВФ_23_33_Кущевская,КВФ_23_33_Кущевская
Краснодарский край,КВФ_23_34_Лабинск,КВФ_23_34_Лабинск
Краснодарский край,КВФ_23_35_Ленинградская,КВФ_23_35_Ленинградская
Краснодарский край,КВФ_23_37_Мостовской,КВФ_23_37_Мостовской
Краснодарский край,КВФ_23_39_Новокубанск,КВФ_23_39_Новокубанск
Краснодарский край,КВФ_23_4_Апшеронск,КВФ_23_4_Апшеронск
Краснодарский край,КВФ_23_41_Новопокровская,КВФ_23_41_Новопокровская
Краснодарский край,КВФ_23_42_Новороссийск,КВФ_23_42_Новороссийск
Краснодарский край,КВФ_23_43_Новотитаровская,КВФ_23_43_Новотитаровская
Краснодарский край,КВФ_23_45_Отрадная,КВФ_23_45_Отрадная
Краснодарский край,КВФ_23_46_Павловская,КВФ_23_46_Павловская
Краснодарский край,КВФ_23_48_Полтавская,КВФ_23_48_Полтавская
Краснодарский край,КВФ_23_49_Приморско-Ахтарск,КВФ_23_49_Приморско-Ахтарск
Краснодарский край,КВФ_23_5_Армавир,КВФ_23_5_Армавир
Краснодарский край,КВФ_23_51_Северская,КВФ_23_51_Северская
Краснодарский край,КВФ_23_52_Славянск-на-Кубани,КВФ_23_52_Славянск-на-Кубани
Краснодарский край,КВФ_23_53_Сочи,КВФ_23_53_Сочи
Краснодарский край,КВФ_23_56_Староминская,КВФ_23_56_Староминская
Краснодарский край,КВФ_23_57_Старощербиновская,КВФ_23_57_Старощербиновская
Краснодарский край,КВФ_23_59_Тбилисская,КВФ_23_59_Тбилисская
Краснодарский край,КВФ_23_60_Темрюк,КВФ_23_60_Темрюк
Краснодарский край,КВФ_23_61_Тимашевск,КВФ_23_61_Тимашевск
Краснодарский край,КВФ_23_62_Тихорецк,КВФ_23_62_Тихорецк
Краснодарский край,КВФ_23_63_Туапсе,КВФ_23_63_Туапсе
Краснодарский край,КВФ_23_64_Успенское,КВФ_23_64_Успенское
Краснодарский край,КВФ_23_65_Усть-Лабинск,КВФ_23_65_Усть-Лабинск
Краснодарский край,КВФ_23_66_Хадыженск,КВФ_23_66_Хадыженск
Краснодарский край,КВФ_23_8_Ахтырский,КВФ_23_8_Ахтырский
Ставропольский край,КВФ_26_10_Зеленокумск,КВФ_26_10_Зеленокумск
Ставропольский край,КВФ_26_11_Изобильный,КВФ_26_11_Изобильный
Ставропольский край,КВФ_26_12_Иноземцево,КВФ_26_12_Иноземцево
Ставропольский край,КВФ_26_13_Ипатово,КВФ_26_13_Ипатово
Ставропольский край,КВФ_26_14_Кисловодск,КВФ_26_14_Кисловодск
Ставропольский край,КВФ_26_15_Кочубеевское,КВФ_26_15_Кочубеевское
Ставропольский край,КВФ_26_18_Лермонтов,КВФ_26_18_Лермонтов
Ставропольский край,КВФ_26_19_Минеральные Воды,КВФ_26_19_Минеральные Воды
Ставропольский край,КВФ_26_2_Александровское,КВФ_26_2_Александровское
Ставропольский край,КВФ_26_20_Михайловск,КВФ_26_20_Михайловск
Ставропольский край,КВФ_26_21_Невинномысск,КВФ_26_21_Невинномысск
Ставропольский край,КВФ_26_22_Незлобная,КВФ_26_22_Незлобная
Ставропольский край,КВФ_26_23_Нефтекумск,КВФ_26_23_Нефтекумск
Ставропольский край,КВФ_26_24_Новоалександровск,КВФ_26_24_Новоалександровск
Ставропольский край,КВФ_26_25_Новопавловск,КВФ_26_25_Новопавловск
Ставропольский край,КВФ_26_26_Пятигорск,КВФ_26_26_Пятигорск
Ставропольский край,КВФ_26_28_Светлоград,КВФ_26_28_Светлоград
Ставропольский край,КВФ_26_3_Благодарный,КВФ_26_3_Благодарный
Ставропольский край,КВФ_26_30_Ставрополь,КВФ_26_30_Ставрополь
Ставропольский край,КВФ_26_31_Суворовская,КВФ_26_31_Суворовская
Ставропольский край,КВФ_26_4_Буденновск,КВФ_26_4_Буденновск
Ставропольский край,КВФ_26_5_Георгиевск,КВФ_26_5_Георгиевск
Ставропольский край,КВФ_26_7_Ессентуки,КВФ_26_7_Ессентуки
Ставропольский край,КВФ_26_9_Железноводск,КВФ_26_9_Железноводск
Белгородская область,КВФ_31_1_Алексеевка,КВФ_31_1_Алексеевка
Белгородская область,КВФ_31_11_Старый Оскол,КВФ_31_11_Старый Оскол
Белгородская область,КВФ_31_12_Строитель,КВФ_31_12_Строитель
Белгородская область,КВФ_31_14_Шебекино,КВФ_31_14_Шебекино
Белгородская область,КВФ_31_2_Белгород,КВФ_31_2_Белгород
Белгородская область,КВФ_31_4_Валуйки,КВФ_31_4_Валуйки
Белгородская область,КВФ_31_6_Губкин,КВФ_31_6_Губкин
Воронежская область,КВФ_36_1_Анна,КВФ_36_1_Анна
Воронежская область,КВФ_36_12_Лиски,КВФ_36_12_Лиски
Воронежская область,КВФ_36_15_Нововоронеж,КВФ_36_15_Нововоронеж
Воронежская область,КВФ_36_16_Острогожск,КВФ_36_16_Острогожск
Воронежская область,КВФ_36_17_Павловск,КВФ_36_17_Павловск
Воронежская область,КВФ_36_18_Поворино,КВФ_36_18_Поворино
Воронежская область,КВФ_36_2_Бобров,КВФ_36_2_Бобров
Воронежская область,КВФ_36_20_Россошь,КВФ_36_20_Россошь
Воронежская область,КВФ_36_21_Семилуки,КВФ_36_21_Семилуки
Воронежская область,КВФ_36_4_Борисоглебск,КВФ_36_4_Борисоглебск
Воронежская область,КВФ_36_5_Бутурлиновка,КВФ_36_5_Бутурлиновка
Воронежская область,КВФ_36_7_Воронеж,КВФ_36_7_Воронеж
Воронежская область,КВФ_36_8_Грибановский,КВФ_36_8_Грибановский
Воронежская область,КВФ_36_9_Калач,КВФ_36_9_Калач
Липецкая область,КВФ_48_1_Грязи,КВФ_48_1_Грязи
Липецкая область,КВФ_48_10_Усмань,КВФ_48_10_Усмань
Липецкая область,КВФ_48_11_Чаплыгин,КВФ_48_11_Чаплыгин
Липецкая область,КВФ_48_4_Елец,КВФ_48_4_Елец
Липецкая область,КВФ_48_6_Лебедянь,КВФ_48_6_Лебедянь
Липецкая область,КВФ_48_7_Данков,КВФ_48_7_Данков
